url	http_status	bytes	sha256	fetched_at_utc	attempts	discovered
https://globaldatafeeds.in/global-datafeeds-apis/global-datafeeds-apis/greeks-api/getlastquoteoptiongreeks/	200	285444	dbe8607a8297052bf0464fc49bec129c26e171f471bc5425344f3f2884fcaa58	2026-07-14T08:02:41Z	1	0
https://globaldatafeeds.in/global-datafeeds-apis/global-datafeeds-apis/greeks-api/getlastquotearrayoptiongreeks/	200	293188	f622dae66d5bfcdd2ae7160db4514195089a4ca0e62ebed7c668b8b57e52ab28	2026-07-14T08:02:45Z	1	0
https://globaldatafeeds.in/global-datafeeds-apis/global-datafeeds-apis/greeks-api/getlastquoteoptiongreekschain/	200	286870	a390ba01b83246124ee6bc95833389a3af129d2a410e3e3251bbe4d52671f2cb	2026-07-14T08:02:49Z	1	0
https://globaldatafeeds.in/global-datafeeds-apis/global-datafeeds-apis/greeks-api/gethistorygreeks-2/	200	293110	b8eabf095c3af62845dbab255402b0167195f1aba9781fdf5d0c28775fe9771e	2026-07-14T08:02:53Z	1	0
https://globaldatafeeds.in/global-datafeeds-apis/global-datafeeds-apis/optionchain-api/subscribeoptionchain/	200	291668	84ea8a2ff74a31fb6e2a3558bce64a786599f1935ddb24adcb084f38837a5e45	2026-07-14T08:02:57Z	1	0
https://globaldatafeeds.in/global-datafeeds-apis/global-datafeeds-apis/advanced_streaming_api/	404	228622	4fa6fae6c54e9a35dde80ecf76ff45b29f7c26427d74efd7d6984a13c1caf095	2026-07-14T08:03:09Z	2	0
https://globaldatafeeds.in/global-datafeeds-apis/global-datafeeds-apis/advanced_streaming_api/subscribeoptionchain/	200	291668	84ea8a2ff74a31fb6e2a3558bce64a786599f1935ddb24adcb084f38837a5e45	2026-07-14T08:03:13Z	1	0
https://globaldatafeeds.in/global-datafeeds-apis/global-datafeeds-apis/streaming_api/	200	281724	e6ade078fb6519b2f89cf57e25dbcda742ef552127e67670ef43ea191627a3fd	2026-07-14T08:03:18Z	1	0
https://globaldatafeeds.in/global-datafeeds-apis/global-datafeeds-apis/streaming_api/stream-all-symbols/	200	290953	16b7bd7fc7276723060a6448846701f1ac92ede29a42a54e6fe4a65415f4fd4e	2026-07-14T08:03:21Z	1	0
https://globaldatafeeds.in/global-datafeeds-apis/global-datafeeds-apis/delayed-api/getexchangesnapshot-delayed/	200	286902	7185a046012d183de63d2837ee095588f3d683fbef080d59345dbe2ab1d28857	2026-07-14T08:03:25Z	1	0
https://globaldatafeeds.in/global-datafeeds-apis/global-datafeeds-apis/documentation-support/diagnostic-api-responses/	200	287849	5942f43dc1c50eee961451752c79fe29db31ec1a0dff744906cf8a57019305b4	2026-07-14T08:03:30Z	1	0
https://globaldatafeeds.in/global-datafeeds-apis/global-datafeeds-apis/documentation-support/api-fields-description/	200	284154	f2b11751da713344f05a26545fb0817110e16c8eed8e7a0bbfef7aea0929dd08	2026-07-14T08:03:33Z	1	0
https://globaldatafeeds.in/global-datafeeds-apis/global-datafeeds-apis/documentation-support/symbol-naming-conventions/	200	292309	720443b49122af0e5d335eb4fbb593117c726ad2a2a327f93207d72213444d1c	2026-07-14T08:03:37Z	1	0
https://globaldatafeeds.in/global-datafeeds-apis/documentation-support/documentation/websockets-api-documentation/	200	299187	4b8a9069543c43f1a8168b24df22fc5266925f456c34199ee78c4a324cf1f22b	2026-07-14T08:03:41Z	1	0
https://globaldatafeeds.in/global-datafeeds-apis/documentation-support/documentation/rest-api-documentation/	200	296543	ce4e86897fe180c808ca80e77ebafef87bcd03eaca69241b45d6df5da0e5ce40	2026-07-14T08:03:45Z	1	0
https://globaldatafeeds.in/global-datafeeds-apis/documentation-support/api-code-samples/	200	281539	5f4917f410efed39ad7ed3d18c6e3c3b3d0723a9e25a6db9d1eaa05f088cbd79	2026-07-14T08:03:50Z	1	0
https://globaldatafeeds.in/global-datafeeds-apis/global-datafeeds-apis/api-code-samples/websockets-python/	200	299584	73244df3022a9c45efb75b1110aa81a6064853aac6b83519823804a10fd7368e	2026-07-14T08:03:53Z	1	0
https://globaldatafeeds.in/global-datafeeds-apis/global-datafeeds-apis/api-code-samples/websockets-java/	200	301363	68d118ee4b5e2df7ca6b1c5be099f7228890fa85353a5343b32fd32d7c4cabbe	2026-07-14T08:03:58Z	1	0
https://globaldatafeeds.in/global-datafeeds-apis/global-datafeeds-apis/api-code-samples/websockets-nodejs/	200	299765	e90e67f5d0c5fd4bc539c42109043ec97bcd6d0572eb03e14381f2b4b8118cd9	2026-07-14T08:04:02Z	1	0
https://globaldatafeeds.in/global-datafeeds-apis/global-datafeeds-apis/api-code-samples/websockets-javascript-sample/	200	307267	a855f272356e039180d8444b966982f08a7d8b935412294eda1d340fdde326da	2026-07-14T08:04:06Z	1	0
https://globaldatafeeds.in/global-datafeeds-apis/global-datafeeds-apis/api-code-samples/rest-python/	200	297222	c4cb34c29154f0357c51801d2064cf25df5bce9812d6a151cca1aa02250484ba	2026-07-14T08:04:10Z	1	0
https://globaldatafeeds.in/global-datafeeds-apis/global-datafeeds-apis/api-code-samples/download-code-samples-2/	200	287947	abc907311fe6a020d7259ade14b8b3c28b1536a895971c39ed597f286627bbb9	2026-07-14T08:04:13Z	1	0
https://globaldatafeeds.in/wp-content/uploads/2024/07/GFDL_Websocket_Python_Sample_AllFunctions.pdf	200	553299	a183742549d15d88611f829f7a67350eea04b4ac3888cb21b3057cc986357c5d	2026-07-14T08:04:15Z	1	0
https://globaldatafeeds.in/robots.txt	200	5739	749b6121d57516b0ceceda3b222e743817247d6a2f4acba91f92b33a8b229453	2026-07-14T08:04:17Z	1	0
https://globaldatafeeds.in/sitemap.xml	200	1590	e010591d7480e89882b28db900bbd7cbc3717e3649763b6ce0ad016391d153a4	2026-07-14T08:04:22Z	1	0
https://globaldatafeeds.in/wp-sitemap.xml	200	1590	e010591d7480e89882b28db900bbd7cbc3717e3649763b6ce0ad016391d153a4	2026-07-14T08:04:25Z	1	0
https://docs.globaldatafeeds.in/	200	193572	8bf90969325b8d6a7541f1818c9372bc54b86e307934383ef8af8236465b83e6	2026-07-14T08:04:28Z	1	0
https://docs.globaldatafeeds.in/getserverinfo-15575607e0	200	251992	e9a5daca5039535e5d347a32ef41651715a38d0c47e03aec63bc5400d10bce6b	2026-07-14T08:04:30Z	1	0
https://docs.globaldatafeeds.in/-getdeliverable-16953847e0	200	265351	56f3cdb901cc38e72e967acb088a0dc1ab55c5191391c30d90ea2fedbfa58afa	2026-07-14T08:04:33Z	1	1
